model_id,analysis_role,condition_id,seed,candidate_representation,delta_log_loss,delta_brier_score,log_loss_sign,brier_score_sign,log_loss_sign_reversal_vs_baseline,brier_score_sign_reversal_vs_baseline,log_loss_rank_order,brier_score_rank_order,log_loss_rank_reversal_vs_baseline,brier_score_rank_reversal_vs_baseline
empirical_history_secondary,secondary,noise_g00_s00,20260831,coarse_linguistic_families,0.011422090579922384,0.005844086413471922,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
empirical_history_secondary,secondary,noise_g00_s00,20260831,structural_split2,0.00885858576828924,0.003941011229692398,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,True,True
bkt_mean_full_credit_secondary,secondary,noise_g00_s00,20260831,coarse_linguistic_families,0.09090397996055999,0.02809041573835591,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g00_s00,20260831,structural_split2,-0.027771513182850427,-0.007698928292318052,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s10,20260829,coarse_linguistic_families,0.005684104753418628,0.0026884978315495633,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
observable_pfa_logistic_primary,primary,noise_g20_s10,20260829,structural_split2,0.0024574651900133304,0.001175870250043426,positive,positive,False,False,true_kstar>structural_split2>coarse_linguistic_families,true_kstar>structural_split2>coarse_linguistic_families,False,False
empirical_history_secondary,secondary,noise_g20_s10,20260829,coarse_linguistic_families,0.0021642736483948877,0.0011658155548517068,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
empirical_history_secondary,secondary,noise_g20_s10,20260829,structural_split2,0.011160801907551976,0.005050207106164578,positive,positive,False,False,true_kstar>coarse_linguistic_families>structural_split2,true_kstar>coarse_linguistic_families>structural_split2,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s10,20260829,coarse_linguistic_families,0.08101603450851613,0.022755904258147663,positive,positive,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
bkt_mean_full_credit_secondary,secondary,noise_g20_s10,20260829,structural_split2,-0.03340935287925273,-0.00844015187768915,negative,negative,False,False,structural_split2>true_kstar>coarse_linguistic_families,structural_split2>true_kstar>coarse_linguistic_families,False,False
