policy,kt_method,grammar_regime,n,log_loss,brier_score,auc,ece,accuracy
supported_interactions,empirical,compositional_holdout,10000,0.6660683507997511,0.23662570295618207,0.531087544882762,0.07213886451257898,0.6096
supported_interactions,empirical,novel_feature_holdout,2000,0.7456725959840989,0.2756495579942082,0.5008628975769547,0.17974074074074073,0.4115
supported_interactions,bkt,all_test,44000,0.8174556446476468,0.27576945203458314,0.5422849422263563,0.21305694460719116,0.6417954545454545
supported_interactions,bkt,development,32000,0.8139549562014378,0.27305510597633875,0.5180878060702736,0.2139806696533078,0.657125
supported_interactions,bkt,compositional_holdout,10000,0.8430144574082249,0.28447933822904004,0.5343075527315501,0.22868532461770552,0.6388
supported_interactions,bkt,novel_feature_holdout,2000,0.7456725959840989,0.2756495579942082,0.5008628975769547,0.17974074074074073,0.4115
supported_interactions,logistic,all_test,44000,0.6433337328844257,0.2255957422341873,0.5650387462327621,0.002725157513149075,0.6511363636363636
supported_interactions,logistic,development,32000,0.6399427881944898,0.22393657167919248,0.5398239203755152,0.003425265569174605,0.65840625
supported_interactions,logistic,compositional_holdout,10000,0.6475613379537577,0.22768492492511785,0.5645288583554098,0.004967241305800974,0.6398
supported_interactions,logistic,novel_feature_holdout,2000,0.6764508225767398,0.24169655765945092,0.5008628975769547,0.007381501946376379,0.5915
